Clinic Name,Address,City,State,2010 Cycles (<35),Implantation Rate,Avg Num Embs Trx,Pregs per Cycle,Births per Cycle,Births per Retrieval,Births per Transfer,eSET Rate,Twin Rate,Triplet+ Rate
Mid-Missouri Reproductive Medicine and Surgery,1502 East Broadway,Columbia,MO,49,48.9,2.0,57.1,55.1,60.0,61.4,9.1,40.7,3.7
Midwest Women's Healthcare,6400 Prospect,Kansas City,MO,39,42.2,2.0,53.8,48.7,59.4,59.4,0.0,36.84210526,0.0
Infertility & Reproductive Medicine Center at Washington University School of Medicine,4444 Forest Park Ave.,St. Louis,MO,198,38.8,2.0,49.0,43.9,49.7,51.8,3.0,35.6,0.0
The Fertility Center at Missouri Baptist Medical Center,3009 North Ballas Road,St. Louis,MO,45,51.3,1.9,53.3,48.9,55.0,55.0,0.0,50.0,0.0
University of Mississippi Medical Center IVF Program,2500 North State Street,Jackson,MS,11,18.2,2.4,27.27272727,27.27272727,30.0,33.33333333,0.0,33.33333333,0.0
NC Center for Reproductive Medicine,400 Asheville Avenue,Cary,NC,86,19.5,2.7,31.4,26.7,30.3,30.3,0.0,30.4,8.7
University of North Carolina School of Medicine,7570 Manning Drive,Chapel Hill,NC,54,36.0,2.0,38.9,35.2,37.3,38.8,6.1,57.89473684,5.263157895
Carolinas Medical Center,1000 Blythe Blvd.,Charlotte,NC,82,40.6,2.0,56.1,47.6,48.8,48.8,1.2,46.2,2.6
Reproductive Endocrinology Associates of Charlotte,1524 East Morehead Street,Charlotte,NC,238,40.3,2.0,42.0,38.2,40.6,51.4,3.4,44.0,1.1
Duke Fertility Center,5704 Fayetteville Road,Durham,NC,93,41.2,1.9,57.0,46.2,49.4,53.1,4.9,34.9,2.3
ECU Women's Physicians,2160 Herbert Court,Greenville,NC,57,40.4,1.9,54.4,47.4,49.1,50.0,0.0,33.3,0.0
Premier Fertility Center,2783 NC Highway 68,High Point,NC,37,50.0,1.9,45.9,45.9,48.6,56.7,10.0,64.70588235,0.0
Advanced Reproductive Concepts,9800 W Kincey Avenue,Huntersville,NC,24,39.5,1.8,50.0,45.8,45.8,52.4,4.8,9.090909091,9.090909091
Carolina Conceptions PA,2601 Lake Drive,Raleigh,NC,201,38.3,2.0,51.7,47.3,50.3,51.6,3.8,29.5,1.1
Wake Forest University Center for Reproductive Medicine,Medical Center Boulevard,Winston-Salem,NC,73,38.1,2.0,56.2,50.7,52.1,52.1,14.1,32.4,0.0
Reproductive Medicine Institute - Merit Care Health Systems,1111 Harwood Drive South,Fargo,ND,56,24.2,2.1,28.6,28.6,32.0,36.4,2.3,37.5,0.0
"Heartland Center for Reproductive Medicine, P.C.",7308 South 142nd Street,Omaha,NE,73,45.5,1.8,49.3,46.6,47.9,55.7,3.3,26.5,2.9
Nebraska Methodist Hospital,8111 Dodge Street,Omaha,NE,148,33.3,2.2,47.3,43.9,46.1,47.1,3.6,30.8,0.0
Dartmouth-Hitchcock Medical Center,1 Medical Center Drive,Lebanon,NH,61,44.0,1.8,47.5,45.9,50.9,54.9,13.7,39.3,0.0
Center for Advanced Reproductive Medicine & Fertility,4 Ethel Road,Edison,NJ,143,30.1,2.1,39.2,34.3,35.3,38.9,4.8,42.9,0.0
North Hudson IVF,385 Sylvan Avenue,Englewood Cliffs,NJ,7,53.84615385,2.2,57.14285714,57.14285714,57.14285714,66.66666667,0.0,75.0,0.0
University Reproductive Associates,214 Terrace Avenue,Hasbrouck Heights,NJ,111,28.4,2.1,43.2,36.0,36.0,37.0,0.9,30.0,0.0
Shore Institute for Reproductive Medicine,475 Route 70,Lakewood,NJ,49,38.2,2.5,46.9,32.7,38.1,45.7,2.9,25.0,12.5
Princeton Center for Infertility,3131 Princeton Pike,Lawrenceville,NJ,13,52.4,1.9,46.15384615,46.15384615,50.0,54.54545455,9.090909091,50.0,16.66666667
Princeton IVF/Delaware Valley Ob/Gyn and Infertility Group,2 Princess Road,Lawrenceville,NJ,52,35.4,2.2,50.0,40.4,40.4,41.2,0.0,47.6,4.8
East Coast Infertility and IVF,200 White Road,Little Silver,NJ,50,33.0,2.2,40.0,32.0,34.0,38.1,0.0,43.75,0.0
Institute for Reproductive Medicine & Science of Saint Barnabas Medical Center ,94 Old Short Hills Road,Livingston,NJ,224,33.8,2.3,44.2,34.8,38.8,45.1,0.0,37.2,1.3
Cooper Institute for Reproductive Hormonal Disorders PC,8002 E Greentree Commons,Marlton,NJ,208,35.4,1.9,32.2,29.8,34.1,45.6,7.4,35.5,3.2
Delaware Valley Institute of Fertility & Genetics,6000 Sagemore Drive,Marlton,NJ,62,37.8,2.0,50.0,38.7,40.0,42.9,3.6,37.5,0.0
South Jersey Fertility Center,400 Lippincott Drive,Marlton,NJ,178,28.9,1.9,39.3,35.4,37.1,38.9,8.6,28.6,1.6
Diamond Institute for Infertility,89 Milburn Avenue,Millburn,NJ,84,29.7,2.0,41.7,34.5,35.8,36.7,6.3,34.5,0.0
Reproductive Medicine Associates of New Jersey,111 Madison Avemue,Morristown,NJ,541,52.4,1.9,68.2,61.0,61.0,65.3,4.0,38.2,0.3
The Valley Hospital Fertility Center,1 Valley Health Plaza,Paramus,NJ,90,44.1,1.9,56.7,46.7,48.3,51.2,8.5,28.6,0.0
IVF New Jersey,81 Veronica Avenue,Somerset,NJ,248,36.4,2.3,52.0,44.4,46.6,49.5,0.5,34.5,2.7
"Reproductive Science Center of New Jersey, PA",4000 Route 66,Tinton Falls,NJ,101,35.4,2.1,47.5,42.6,43.9,44.3,1.0,34.9,4.7
"Louis R. Manara, D.O.",200 Route 73 North,Voorhees,NJ,46,28.8,2.1,34.8,32.6,37.5,38.5,7.7,46.66666667,0.0
"North Jersey Fertility Associates, LLC",57 Willowbrook Boulevard,Wayne,NJ,46,35.4,2.0,43.5,39.1,41.9,46.2,0.0,50.0,0.0
Fertility Institute of New Jersey,400 Old Hook Road,Westwood,NJ,87,18.0,2.3,29.9,25.3,25.9,26.8,2.4,27.3,0.0
Center for Reproductive Medicine of New Mexico,201 Cedar St.,Albuquerque,NM,77,60.6,2.0,70.1,67.5,73.2,75.4,11.6,48.1,0.0
Fertility Center of Las Vegas,8851 W Sahara,Las Vegas,NV,131,49.4,1.7,43.5,37.4,39.2,54.4,14.4,38.8,4.1
Nevada Fertility CARES,653 Town Center Drive,Las Vegas,NV,70,39.0,2.1,45.7,42.9,45.5,52.6,0.0,26.7,3.3
Nevada Center for Reproductive Medicine,645 Sierra Rose Drive,Reno,NV,61,30.5,2.2,47.5,39.3,41.4,42.1,1.8,33.3,0.0
"Albany IVF, Fertility & Gynecology",349 Northern Boulevard,Albany,NY,75,41.9,2.1,53.3,46.7,52.2,57.4,16.4,31.4,0.0
Genesis Fertility & Reproductive Medicine,13558 4th Street,Brooklyn,NY,169,49.2,2.0,49.1,43.2,49.3,55.7,7.6,38.4,0.0
The Fertility Institute at New York Methodist Hospital,506 Sixth Street,Brooklyn,NY,48,25.3,2.3,39.6,27.1,30.2,31.0,14.3,30.76923077,7.692307692
Infertility & IVF Medical Associates of Western NY,4510 Main Street,Buffalo,NY,129,31.4,2.2,39.5,36.4,41.2,43.1,0.0,51.1,0.0
Institute for Reproductive Medicine and Health of Montefiore Medical Center,141 South Central Avenue,Hartsdale,NY,57,27.0,2.1,36.8,29.8,32.7,35.4,8.3,35.29411765,0.0
North Shore University Hospital,300 Community Drive,Manhasset,NY,181,30.3,2.1,41.4,38.1,40.4,42.6,1.9,34.8,2.9
Long Island IVF,8 Corporate Center Drive,Melville,NY,99,35.0,2.1,52.5,48.5,50.0,50.5,2.1,25.0,0.0
Reproductive Specialists of New York LLP,200 Old Country Road,Mineola,NY,285,28.4,1.8,40.7,34.0,35.3,36.3,19.1,17.5,0.0
Westchester Reproductive Medicine,344 East Main Street,Mt Kisco,NY,14,32.0,2.1,50.0,42.85714286,50.0,50.0,16.66666667,16.66666667,0.0
Advanced Fertility Services,1625 Third Avenue,New York,NY,81,24.0,2.7,30.9,23.5,26.4,28.8,0.0,42.10526316,15.78947368
American Fertility Services PC,115 East 57th Street,New York,NY,101,24.9,2.1,34.7,27.7,30.8,32.6,5.8,32.1,3.6
American Infertility of New York PC,21 East 69th Street,New York,NY,64,24.1,2.1,29.7,28.1,28.1,34.0,9.4,27.77777778,0.0
Beth Israel Center for Infertility and Reproductive Health,10 Union Square East,New York,NY,55,16.0,2.3,18.2,16.4,20.0,25.7,2.9,33.33333333,0.0
Brooklyn/Westside Fertility Center,55 Central Park West,New York,NY,7,28.57142857,2.0,42.85714286,28.57142857,28.57142857,28.57142857,0.0,0.0,50.0
Columbia University Center for Women's Reproductive Care,1790 Broadway,New York,NY,423,34.8,2.0,40.9,36.6,41.4,48.3,1.9,32.3,2.6
Continuum Reproductive Center of St Luke's Roosevelt Hospital Center,425 West 59th Street,New York,NY,119,34.3,2.1,59.7,38.7,40.0,41.4,6.3,13.0,0.0
"Geoffrey Sher, M.D., PC",425 5th Avenue,New York,NY,81,36.0,2.2,46.9,43.2,46.7,50.7,4.3,40.0,0.0
Manhatten Reproductive Medicine,159 East 74th Street,New York,NY,29,26.4,3.0,48.3,34.5,34.5,34.5,0.0,40.0,10.0
Metropolitan Reproductive Medicine PC,422 West End Avenue,New York,NY,4,30.0,2.5,50.0,50.0,50.0,50.0,0.0,50.0,0.0
New Hope Fertility Center,784 Park Avenue,New York,NY,119,36.5,1.2,47.1,37.0,37.6,37.6,29.9,9.1,0.0
New York University School of Medicine,660 First Ave at 38 St,New York,NY,196,43.7,1.9,53.6,43.9,47.8,49.4,9.8,39.5,0.0
Offices for Fertility & Reproductive Medicine PC,51 East 67th Street,New York,NY,18,56.0,1.8,50.0,50.0,56.25,64.28571429,14.28571429,33.33333333,11.11111111
"Reproductive Medicine Associates of New York, LLP",635 Madison Avenue,New York,NY,503,37.6,2.2,54.7,47.9,49.8,52.3,1.5,36.5,1.7
Weill Medical College of Cornell University,1305 York Avenue,New York,NY,706,32.5,2.1,44.9,40.5,43.3,46.3,2.8,31.1,0.7
East Coast Fertility,1074 Old Country Road,Plainview,NY,203,42.7,1.6,52.7,46.8,48.7,50.5,31.4,18.9,0.0
Institute for Reproductive Health and Infertility,1561 Long Pond Road,Rochester,NY,23,24.4,2.5,39.1,39.1,40.9,50.0,0.0,22.22222222,0.0
Strong Fertility and Reproductive Science Center,500 Red Creek Drive,Rochester,NY,92,22.9,2.2,33.7,30.4,33.7,34.1,1.2,21.4,0.0
Island Reproductive Services,1110 South Avenue,Staten Island,NY,44,57.7,1.9,52.3,45.5,46.5,54.1,13.5,55.0,0.0
Gold Coast IVF,243 Jericho Turnpike,Syosset,NY,31,38.7,2.3,51.6,48.4,50.0,55.6,0.0,40.0,0.0
CNY Fertility Center,195 Intrepid Lane,Syracuse,NY,646,22.7,2.5,36.1,30.2,32.2,34.3,2.1,29.2,4.6
Westchester Fertility & Reproductive Endocrinology,136 South Broadway,White Plains,NY,21,55.6,1.9,52.4,42.9,50.0,64.28571429,21.42857143,11.11111111,0.0
Northeastern Ohio Fertility Center,468 E. Market Street,Akron,OH,10,29.6,2.7,80.0,60.0,60.0,60.0,0.0,0.0,0.0
Reproductive Gynecology,95 Arch Street,Akron,OH,156,25.2,2.3,38.5,33.3,36.6,37.4,2.2,30.8,1.9
Cleveland Clinic Fertility Center - Beachwood,26900 Cedar Road,Beachwood,OH,308,42.2,1.8,47.7,43.5,52.5,52.5,20.0,28.4,0.0
Bethesda Center for Reproductive Health and Fertility,10506 Montgomery Road,Cincinnati,OH,81,37.0,2.0,43.2,38.3,43.7,46.3,1.5,45.2,0.0
Center for Reproductive Health,2123 Auburn Avenue,Cincinnati,OH,44,21.3,2.1,34.1,31.8,31.8,32.6,0.0,35.71428571,0.0
MacDonald Fertility and IVF Program,11100 Euclid Avenue,Cleveland,OH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio Reproductive Medicine,4830 Knightsbridge Blvd.,Columbus,OH,218,36.1,2.1,50.9,42.7,45.6,48.4,7.3,36.6,4.3
Kettering Reproductive Medicine,3533 Southern Boulevard,Kettering,OH,87,37.8,1.8,37.9,32.2,35.0,40.6,11.6,17.9,3.6
Fertility Center of NW Ohio,2142 N Cove Boulevard,Toledo,OH,57,19.5,2.4,29.8,28.1,32.0,34.0,0.0,31.25,0.0
Henry G. Bennett Jr. Fertility Institute,3433 NW 56th Street,Oklahoma City,OK,133,42.7,2.1,57.9,51.9,54.8,58.0,0.8,42.0,1.4
OU Physicians Reproductive Health,1000 N. Lincoln Boulevard,Oklahoma City,OK,69,50.4,1.9,60.9,53.6,53.6,56.1,10.6,48.6,0.0
Tulsa Center for Fertility and Women's Health,115 East 15th Street,Tulsa,OK,127,37.6,1.8,41.7,40.2,42.5,52.0,3.1,29.4,2.0
Northwest Fertility Center,1750 SW Harbor Way,Portland,OR,28,40.7,2.0,57.1,46.4,48.1,48.1,3.7,38.46153846,0.0
Oregon Reproductive Medicine,2222 NW Lovejoy,Portland,OR,158,53.5,2.0,64.6,56.3,59.7,63.6,7.1,41.6,0.0
University Fertility Consultants,3303 SW Bond Avenue,Portland,OR,101,44.3,2.1,49.5,43.6,47.8,52.4,2.4,43.2,2.3
Toll Center for Reproductive Sciences/Abington Reproductive Medicine PC,1245 Highland Avenue,Abington,PA,139,31.8,2.2,44.6,36.7,38.3,43.2,1.7,39.2,2.0
"Infertility Solutions, P.C.",1275 South Cedar Crest Boulevarad,Allentown,PA,60,15.4,2.3,31.7,18.3,19.0,20.8,0.0,9.090909091,0.0
Reproductive Medicine Associates of Pennsylvania,401 North 17th Street,Allentown,PA,45,48.1,1.9,57.8,51.1,51.1,54.8,4.8,60.9,0.0
Family Fertility Center,95 Highland Ave,Bethlehem,PA,56,28.3,2.0,41.1,41.1,41.8,43.4,5.7,30.4,0.0
Main Line Fertility & Reproductive Medicine,130 South Bryn Mawr Avenue,Bryn Mawr,PA,229,38.5,2.2,54.6,46.3,47.5,52.2,5.9,37.7,3.8
Geisinger Medical Center Fertility Center,100 N Academy Ave,Danville,PA,44,28.9,2.2,38.6,34.1,39.5,42.9,0.0,26.66666667,0.0
The Milton S. Hershey Medical Center,500 University Drive,Hershey,PA,36,30.8,2.2,33.3,30.6,35.5,45.8,0.0,36.36363636,0.0
Fertility & Gynecology Associates,800 Spruce Street,Philadelphia,PA,12,42.3,2.2,75.0,66.66666667,66.66666667,66.66666667,8.333333333,12.5,0.0
University of Pennsylvania Penn Fertility Care,3701 Market Street,Philadelphia,PA,133,31.8,1.9,39.1,32.3,37.1,41.0,3.8,34.9,0.0
Jones Institute at West Penn Allegheny Health Systems,4815 Liberty Avenue,Pittsburgh,PA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Reproductive Health Specialists, Inc.",665 Rodi Road,Pittsburgh,PA,101,40.0,1.7,53.5,46.5,47.5,50.5,15.1,23.4,2.1
University of Pittsburgh Physicians,300 Halket Street,Pittsburgh,PA,157,24.1,2.1,33.8,26.8,28.2,32.8,2.3,28.6,0.0
Crozer Chester Medical Center,1 Medical Center Blvd,Upland,PA,97,34.7,2.3,29.9,26.8,31.3,47.3,0.0,46.2,0.0
Reproductive Science Institute,945 Chesterbrook Boulevard,Wayne,PA,76,52.7,1.9,59.2,51.3,53.4,58.2,4.5,38.5,0.0
"Women's Clinic, Ltd.",301 South Seventh Avenue,West Reading,PA,49,40.0,2.2,44.9,42.9,56.8,58.3,0.0,42.9,0.0
Reproductive Medicine Associates of Philadelphia,735 Fitzwatertown Road,Willow Grove,PA,119,45.6,1.9,63.0,52.9,57.3,59.4,2.8,31.7,1.6
"Pedro J. Beauchamp, M.D. IVF Program",100 Paseo San Pablo,Bayamon,PR,50,33.0,2.2,62.0,40.0,41.7,42.6,4.3,30.0,0.0
"Gynecology, Reproductive Endocrinology & Fertility Institute (GREFI)",1519 Ponce de Leon Ave,Santurce,PR,9,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Women and Infants Hospital,1 Blackstone Place,Providence,RI,216,29.9,2.1,46.8,41.2,42.4,44.3,3.5,25.8,0.0
Fertility Center of the Carolinas,890 West Faris Road,Greenville,SC,42,28.4,2.1,38.1,38.1,44.4,44.4,0.0,18.75,0.0
Piedmont Reproductive Endocrinology Group PA,17 Caledon Court,Greenville,SC,73,47.4,2.0,61.6,57.5,60.9,62.7,1.5,33.3,0.0
Southeastern Fertility Center,1375 Hospital Drive,Mount Pleasant,SC,133,43.7,2.0,54.1,49.6,50.0,53.2,3.2,43.9,1.5
"Advanced Fertility & Reproductive Endocrinology Institute, LLC",2728 Sunset Boulevard,West Columbia,SC,92,34.6,2.1,53.3,46.7,46.7,50.6,0.0,32.6,0.0
Sanford Women's Health,1500 West 22nd Street MB3,Sioux Falls,SD,111,35.3,1.8,49.5,46.8,47.7,49.1,28.3,19.2,1.9
The Fertility Center of Chattanooga,1624 Gunbarrel Road,Chattanooga,TN,29,52.1,2.0,55.2,51.7,55.6,62.5,0.0,60.0,0.0
East Tennessee State University,325 North State of Franklin Road,Johnson City,TN,20,37.1,2.1,55.0,50.0,55.55555556,58.82352941,0.0,20.0,0.0
"Kutteh Ke Fertility Associates of Memphis, PLLC",80 Humphrey Center,Memphis,TN,124,32.4,2.0,39.5,37.1,41.1,43.4,9.4,23.9,4.3
Nashville Fertility Center P. C.,3452 3rd Avenue North,Nashville,TN,167,34.9,2.0,45.5,41.9,49.3,52.6,19.5,18.6,1.4
The Center for Reproductive Health,2410 Patterson Street,Nashville,TN,42,14.4,2.8,33.3,26.2,27.5,27.5,0.0,27.27272727,0.0
Austin Fertility Center,805 East 32nd Street,Austin,TX,4,22.22222222,2.2,25.0,25.0,25.0,25.0,0.0,100.0,0.0
"Texas Fertility Center, Drs Vaughn, Silverberg & Hansard","6500 N Mopac, Building 1",Austin,TX,221,35.7,1.9,48.9,42.5,46.3,48.0,14.8,28.7,2.1
Center for Assisted Reproduction,1701 Park Place Avenue,Bedford,TX,120,43.4,1.8,48.3,46.7,46.7,50.5,10.8,41.1,3.6
Dallas-Fort Worth Fertility Associates,8160 Walnut Hill Lane,Dallas,TX,166,35.6,1.9,47.0,40.4,42.7,44.1,4.6,28.4,3.0
"Fertility Specialists of Dallas, PA",8230 Walnut Hill Lane,Dallas,TX,60,44.3,2.0,66.7,58.3,62.5,64.8,1.9,28.6,0.0
Sher Institute for Reproductive Medicine - Dallas,7777 Forest Lane,Dallas,TX,88,42.1,2.1,54.5,44.3,46.4,50.6,3.9,38.5,2.6
The Texas Center for Reproductive Health,3600 Gaston Avenue,Dallas,TX,30,49.0,1.9,66.7,53.3,53.3,59.3,11.1,18.75,0.0
The Women's Place,950 Scotland Drive,De Soto,TX,7,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southwest Center for Reproductive Health,799 South Mesa Hills,El Paso,TX,38,38.6,2.0,36.8,34.2,36.1,46.4,0.0,46.15384615,7.692307692
Fort Worth Fertility PA,1800 Mistletoe Blvd,Fort Worth,TX,150,37.4,2.0,50.7,47.3,48.3,50.0,8.5,26.8,2.8
Dallas IVF,2840 Legacy Drive,Frisco,TX,138,50.6,2.2,60.9,55.1,59.4,60.3,1.6,55.3,2.6
Baylor Family Fertility Program,21709 Dryden Road,Houston,TX,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Center for Women's Medicine,10901 Katy Freeway,Houston,TX,70,28.8,2.3,50.0,37.1,38.2,43.3,1.7,38.5,0.0
Cooper Institute for Advanced Reproductive Medicine,7500 Beechnut,Houston,TX,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fertility Specialists of Houston,7900 Fannin,Houston,TX,266,32.0,2.2,44.4,36.5,39.9,43.5,3.6,30.9,3.1
Houston Infertility Clinic,9055 Katy Freeway,Houston,TX,71,31.7,2.0,45.1,39.4,43.1,46.7,0.0,25.0,0.0
Houston IVF,929 Gessner,Houston,TX,146,36.2,2.0,53.4,50.0,50.3,51.0,6.3,38.4,0.0
North Houston Center for Reproductive Medicine,530 Wells Fargo Dr.,Houston,TX,31,54.1,2.0,71.0,61.3,61.3,61.3,6.5,47.36842105,0.0
Advanced Reproductive Care Center,7501 Las Colinas Boulevard,Irving,TX,109,41.4,1.9,58.7,48.6,50.5,51.0,12.5,41.5,0.0
Wilford Hall Medical Center,2200 Bergquist Drive,Lackland AFB,TX,81,42.9,1.9,61.7,54.3,54.3,55.7,3.8,29.5,0.0
Center for Reproductive Medicine,3405 22nd Street,Lubbock,TX,43,41.1,1.7,48.8,46.5,46.5,47.6,16.7,40.0,0.0
Presbyterian Hospital Plano ARTS,6200 West Parker Road,Plano,TX,157,35.5,2.1,47.8,40.8,42.7,43.5,5.4,39.1,1.6
Fertility Center of San Antonio,4499 Medical Drive,San Antonio,TX,133,48.0,2.0,62.4,54.9,57.9,59.3,2.4,42.5,0.0
"Reproductive Medicine Associates of Texas, PA",19296 Stone Oak Parkway,San Antonio,TX,100,48.1,2.0,51.0,43.0,48.9,55.1,3.8,34.9,2.3
South Texas Fertility Center,8122 Datapoint Drive,San Antonio,TX,17,10.0,2.0,11.76470588,11.76470588,16.66666667,20.0,0.0,0.0,0.0
Houston Fertility Institute,13414 Medical Complex Drive,Tomball,TX,337,45.8,2.0,61.7,51.6,52.7,54.5,9.1,39.7,1.1
Center of Reproductive Medicine,1015 Medical Center Boulevard,Webster,TX,95,49.1,1.9,55.8,49.5,55.3,57.3,15.9,38.3,2.1
Utah Center for Reproductive Medicine,675 Arapeen Way,Salt Lake City,UT,182,52.4,1.9,54.9,50.5,59.7,63.9,13.2,41.3,1.1
Reproductive Care Center,10150 South Petunia Way,Sandy,UT,229,36.9,2.0,42.8,38.0,40.1,43.5,3.0,37.9,2.3
Washington Fertility Center,4316 L Evergreen Lane,Annandale,VA,45,29.0,2.4,48.9,40.0,41.9,42.9,0.0,27.77777778,5.555555556
Dominion Fertility & Endocrinology,46 S Glebe Road,Arlington,VA,211,31.2,1.3,21.3,19.0,22.2,34.2,15.4,7.5,0.0
Reproductive Medicine and Surgery Center of Virginia,595 Peter Jefferson Parkway,Charlottesville,VA,64,27.7,2.1,42.2,34.4,36.7,38.6,0.0,31.8,0.0
Genetics & IVF Institute,3015 Williams Drive,Fairfax,VA,101,27.7,1.9,36.6,29.7,30.0,33.0,9.9,30.0,0.0
The Muasher Center for Fertility and IVF,8501 Arlington Boulevard,Fairfax,VA,38,20.6,2.1,28.9,23.7,25.0,27.3,0.0,22.22222222,0.0
Jones Institute for Reproductive Medicine,601 Colley Ave,Norfolk,VA,98,22.0,2.1,29.6,27.6,28.4,29.3,2.2,37.0,0.0
Virginia Center for Reproductive Medicine,11150 Sunset Hills Road,Reston,VA,48,54.7,1.8,64.6,58.3,59.6,59.6,8.5,39.3,0.0
Fertility Institute of Virginia,10710 Midlothian Turnpike,Richmond,VA,74,36.6,2.0,50.0,44.6,45.8,49.3,10.4,33.3,0.0
Life Source Fertility Center,7603 Forest Avenue,Richmond,VA,35,41.2,1.8,45.7,37.1,39.4,46.4,10.7,23.07692308,0.0
"Richmond Center for Fertility and Endocrinology, Ltd",7603 Forest Ave,Richmond,VA,47,39.3,2.0,53.2,48.9,52.3,56.1,2.4,39.1,0.0
University Center for Advanced Reproductive Medicine,9000 Stony Point Parkway,Richmond,VA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Hope Center for Reproductive Medicine,1181 First Colonial Road,Virginia Beach,VA,82,41.9,2.0,59.8,51.2,52.5,55.3,1.3,38.1,0.0
Vermont Center for Reproductive Medicine,1 South Prospect Street,Burlington,VT,41,46.8,1.9,39.0,24.4,34.5,40.0,12.0,40.0,0.0
Eastside Fertility Laboratory,13701 16th Avenue NE,Bellevue,WA,40,43.1,1.9,55.0,47.5,47.5,51.4,13.5,26.31578947,0.0
"Overlake Reproductive Health, Inc.",11351 16th Avenue Northeast,Bellevue,WA,34,50.9,2.0,55.9,55.9,55.9,67.9,7.1,36.84210526,0.0
Olympia Women's Health,403 Black Hills Lane SW,Olympia,WA,22,30.3,1.7,36.4,31.8,31.8,36.84210526,5.263157895,28.57142857,0.0
Pacific NW Fertility and IVF Specialists,1101 Madison Street,Seattle,WA,81,37.0,1.9,50.6,43.2,46.1,46.1,9.2,34.3,0.0
Seattle Reproductive Medicine,1505 Westlake Avenue North,Seattle,WA,269,51.3,1.5,57.6,53.5,56.2,59.3,39.1,25.0,0.0
Center for Reproductive Endocrinology & Fertility,508 W. 6th Ave.,Spokane,WA,76,63.1,2.1,81.6,75.0,77.0,79.2,2.8,47.4,1.8
GYFT Clinic,502 South M Street,Tacoma,WA,35,38.6,2.3,45.7,42.9,46.9,50.0,0.0,33.33333333,13.33333333
Madigan Army Medical Center,9040 A Fitzsimons Drive,Tacoma,WA,34,36.4,1.8,52.9,47.1,50.0,53.3,13.3,18.75,0.0
The Women's Center at Aurora Bay Care Medical Center,2845 Greenbrier Road,Green Bay,WI,63,32.0,2.0,46.0,42.9,43.5,45.0,0.0,33.3,0.0
University of Wisconsin Center for Reproductive Medicine,600 Highland Avenue,Madison,WI,42,40.3,2.0,47.6,42.9,51.4,54.5,12.1,38.88888889,0.0
Wisconsin Fertility Institute,3146 Deming Way,Middleton,WI,59,13.9,2.8,32.2,27.1,27.1,28.1,0.0,18.75,0.0
Froedtert Medical College Reproductive Medicine Clinic,9200 West Wisconsin Avenue,Milwaukee,WI,109,40.6,1.9,47.7,44.0,44.9,49.0,10.2,37.5,2.1
Reproductive Specialty Center,2015 E Newport Avenue,Milwaukee,WI,20,48.5,1.9,60.0,40.0,42.10526316,47.05882353,17.64705882,37.5,0.0
Aurora Fertility Services - West Allis Memorial Hospital,8901 West Lincoln Avenue,West Allis,WI,52,39.0,2.0,51.9,48.1,50.0,51.0,2.0,40.0,4.0
West Virginia University Fertility Center,830 Pennsylvania Avenue,Charleston,WV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Virginia University,1322 Pineview Drive,Morgantown,WV,25,35.8,2.4,56.0,48.0,52.2,54.5,0.0,41.66666667,0.0
Acacio Fertility Center,27882 Forbes Road,Laguna Niguel,CA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pacific Fertility Center - Los Angeles,10421 Wilshire Blvd,Los Angeles,CA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Society Hill Reproductive Medicine,101 Rowland Way,Novato,CA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Center for Natural IVF,600 Heritage Drive,Jupiter,FL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Southern Illinois University School of Medicine, Fertility and IVF Center",751 N. Rutledge,Springfield,IL,49,48.9,1.8,75.5,71.4,72.9,72.9,10.4,14.3,0.0
Fertility Associates of North Texas,800 5th Avenue,Fort Worth,TX,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah Fertility Center,1988 W. 930 N.,Pleasant Grove,UT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Reproductive Medicine and Surgery P.C.,"4190 Telegraph Road, Suite 1500",Bloomfield Hills,MI,21,43.6,2.3,52.4,47.6,55.55555556,58.82352941,0.0,30.0,10.0
Fertility Institute of Hawaii,"1401 South Beretania Street, Suite 250",Honolulu,HI,19,47.7,2.4,73.68421053,57.89473684,57.89473684,61.11111111,5.555555556,45.45454545,0.0
University Fertility Center,"1804 FM 646 West, Suite N",Dickinson,TX,26,52.7,2.4,61.5,46.2,52.2,52.2,0.0,41.66666667,8.333333333
